1.49e-10  8.3665E-10  
1.31e-10  7.3968E-10  
1.14e-10  6.5378E-10  
9.97e-11  5.7722E-10
8.70e-11  5.0925E-10 
7.58e-11  4.4892E-10 
6.60e-11  3.9532E-10 
5.75e-11  3.4760E-10 
5.00e-11  3.0525E-10 
4.36e-11  2.6753E-10 
3.79e-11  2.3397E-10
3.30e-11  2.0402E-10 
2.88e-11  1.7742E-10 
2.52e-11  1.5378E-10 
2.22e-11  1.3275E-10 
1.96e-11  1.1421E-10 
1.75e-11  9.7916E-11 
1.57e-11  8.3710E-11
1.41e-11  7.1460E-11 
1.26e-11  6.1041E-11 
1.12e-11  5.2313E-11 
9.96e-12  4.5078E-11 
9.81e-12  3.9155E-11 
7.78e-12  3.4334E-11 
6.87e-12  3.0417E-11
6.07e-12  2.7264E-11 
5.37e-12  2.4709E-11 
4.76e-12  2.2617E-11 
4.22e-12  2.0882E-11 
3.76e-12  1.9410E-11 
3.37e-12  1.8112E-11 
3.06e-12  1.6917E-11
2.88e-12  1.5880E-11 
2.99e-12  1.5416E-11 
3.84e-12  1.6774E-11 
6.29e-12  2.2256E-11 
1.13e-11  3.4184E-11 
1.92e-11  5.2752E-11 
2.87e-11  7.4813E-11
3.78e-11  9.5092E-11 
4.43e-11  1.0882E-10 
4.71e-11  1.1367E-10 
4.62e-11  1.1004E-10 
4.24e-11  1.0012E-10 
3.70e-11  8.6621E-11 
3.09e-11  7.1969E-11
2.50e-11  5.7895E-11 
1.96e-11  4.5384E-11 
1.51e-11  3.4847E-11 
1.15e-11  2.6321E-11 
8.56e-12  1.9623E-11 
6.33e-12  1.4480E-11 
4.64e-12  1.0596E-11
3.38e-12  7.7051E-12 
2.44e-12  5.5743E-12 
1.76e-12  4.0167E-12 
1.27e-12  2.8790E-12 
9.08e-13  2.0621E-12 
6.50e-13  1.4740E-12 
4.65e-13  1.0515E-12
3.32e-13  7.4952E-13 
2.37e-13  5.3373E-13 
1.69e-13  3.7979E-13 
1.20e-13  2.7009E-13 
8.55e-14  1.9200E-13 
6.09e-14  1.3644E-13 
4.33e-14  9.6941E-14
3.08e-14  6.8868E-14 
2.19e-14  4.8922E-14 
1.56e-14  3.4755E-14 
1.11e-14  2.4693E-14 
7.93e-15  1.7547E-14 
5.65e-15  1.2473E-14 
4.03e-15  8.8702E-15
2.88e-15  6.3114E-15 
2.06e-15  4.4938E-15 
1.47e-15  3.2024E-15 
1.06e-15  2.2847E-15 
7.61e-16  1.6322E-15 
5.49e-16  1.1681E-15 
3.98e-16  8.3767E-16
